Questions, Answers
"What is the output of the following code: `print(type(1))`?","<class 'int'>"
"In Python, what is the type of the value `5.0`?","<class 'float'>"
"How would you create a list in Python?","Using square brackets. Example: [1, 2, 3]"
"How can you add an element to a list in Python?","Using the `append()` method."
"In Python, what does the `len` function do?","Returns the length (number of items) of an object."
"How do you extract the value 'hello' from the following dictionary: `data = {'key': 'hello'}`?","data['key']"
"What is the purpose of Python's `def` keyword?","It is used to define a new function."
"How would you handle exceptions in Python?","Using the `try` and `except` blocks."
"What keyword is used in Python to create a loop that runs while a condition is TRUE?","`while`"
"In Python, how do you check if a value is NOT in a list?","Using `not in`."
"What is the correct way to comment a single line in Python?","Using `#` at the beginning of the line."
"What is the output of the following code: `print(3 * '2')`?","'222'"
"How do you declare a variable `a` and set its value to 10 in Python?","`a = 10`"
"What is the difference between `==` and `=` in Python?","`==` is a comparison operator and `=` is an assignment operator."
"How do you create a Python function?","Using the `def` keyword followed by the function name and parentheses."
"How do you define an empty set in Python?","Using `set()`, because `{}` would create an empty dictionary."
"How do you convert a list `['1', '2', '3']` to integers?","Using list comprehension: `[int(i) for i in ['1', '2', '3']]`"
"In which module can you find the `sqrt` function to compute the square root in Python?","`math`"
"How do you generate a random number between 1 and 10 in Python?","Using `random.randint(1, 10)`."
"How do you check the data type of a variable in Python?","Using the `type()` function."
"How can you remove duplicates from a list in Python?","By converting the list to a set and then back to a list."
"What is the output of the following code: `'Hello'.replace('l', 'r')`?","'Herro'"
"What is the purpose of the `strip` method in Python strings?","To remove leading and trailing whitespaces."
"What is the output of the following code: `', '.join(['a', 'b', 'c'])`?","'a, b, c'"
"How can you retrieve the last element of a list named `my_list`?","Using `my_list[-1]`."
"How do you check if a string `s` starts with 'hello'?","Using `s.startswith('hello')`."
"How do you execute a block of code multiple times in Python?","Using loops like `for` and `while`."
"How can you get a list of all keys from a dictionary `d`?","Using `d.keys()`."
"What is the output of the following code: `list(range(3))`?","[0, 1, 2]"
"What method would you use to transform a string `s` to uppercase?","`s.upper()`"
"How would you handle multiple exceptions in Python?","Using multiple `except` blocks after a `try` block."
"How can you concatenate two lists in Python?","Using the `+` operator."
"What does the `split` method do on a Python string?","It divides the string into a list, typically based on whitespace or another separator."
"How do you check if a variable `v` is an instance of a class or tuple of classes `C`?","Using `isinstance(v, C)`."
"What is the use of the `pass` statement in Python?","It is a null operation — when it is executed, nothing happens. It is useful as a placeholder."
"How do you check if a string `s` ends with 'world'?","Using `s.endswith('world')`."
"What is the difference between `==` and `is` in Python?","`==` checks for value equality, while `is` checks for identity (if two variables point to the same object)."
"How do you convert an integer `i` to a string in Python?","Using `str(i)`."
"In Python, what does the `enumerate` function do?","It returns both the index and the value in a list during iteration."
"How do you create a function in Python?","Using the `def` keyword."
"How do you add an element to the end of a list `l`?","Using `l.append(element)`."
"What is the purpose of the `__init__` method in a Python class?","It's the constructor and is called when an object is created from a class."
"What does the `len` function do in Python?","It returns the number of elements in an object like a list or the number of characters in a string."
"What keyword is used to create a class in Python?","`class`"
"How do you get the integer division (floor division) of `a` by `b` in Python?","Using `a // b`."
"What module in Python is used for regular expressions?","`re`"
"What is the output of the following code: `'Hello World'[0:5]`?","'Hello'"
"How can you create a multi-line string in Python?","Using triple quotes, either `'''` or `\"\"\"`."
"How can you convert a string `s` to lowercase in Python?","Using `s.lower()`."
"What is the result of the operation `'12' * 3` in Python?","'121212'"
"What is the data type of the value `3.14` in Python?","`float`"
"How do you round the number `4.678` to 2 decimal places in Python?","Using `round(4.678, 2)`."
"How do you remove the value `3` from a list `l` in Python?","Using `l.remove(3)`."
"What does the `in` keyword do in Python?","It checks if an element is present in a sequence like a list, or if a substring exists in a string."
"What is the primary difference between a list and a tuple in Python?","A list is mutable (can be changed), while a tuple is immutable (cannot be changed)."
"What is the significance between for i in [0,1,2]: and for i in range(3)", "With the square brackets, the computer is haned all 3 values at once but with range it's one at a time"
"In Python strings are ______, hence you cant say string[0] = 'h'", "immuatable"
"Since strings are immutable to change a string, you would need to _____", "Store a new value in the string"
"How do the functions .lower() and .upper() work?", "They make a copy of the string"
"How is with open(file) different than file.open()","with open opens and closes the file"
